	number	yr	yn	year
343	335	1347-1348	491805	1347
344	322	1348-1349	492171	1348
345	325	1349-1350	492536	1349
346	331	1350-1351	492901	1350
347	295	1351-1352	493266	1351
348	284	1352-1353	493632	1352
349	284	1353-1354	493997	1353
350	365	1354-1355	494362	1354
351	456	1355-1356	494727	1355
352	435	1356-1357	495093	1356
353	406	1357-1358	495458	1357
354	397	1358-1359	495823	1358
355	400	1359-1360	496188	1359
356	367	1360-1361	496554	1360
357	331	1361-1362	496919	1361
358	354	1362-1363	497284	1362
359	434	1363-1364	497649	1363
360	422	1364-1365	498015	1364
361	365	1365-1366	498380	1365
362	413	1366-1367	498745	1366
363	487	1367-1368	499110	1367
364	478	1368-1369	499476	1368
365	432	1369-1370	499841	1369
366	428	1370-1371	500206	1370
367	364	1371-1372	500571	1371
368	312	1372-1373	500937	1372
369	329	1373-1374	501302	1373
370	439	1374-1375	501667	1374
371	487	1375-1376	502032	1375
372	398	1376-1377	502398	1376
373	357	1377-1378	502763	1377
374	412	1378-1379	503128	1378
375	489	1379-1380	503493	1379
376	521	1380-1381	503859	1380
377	521	1381-1382	504224	1381
378	518	1382-1383	504589	1382
379	475	1383-1384	504954	1383
380	471	1384-1385	505320	1384
381	569	1385-1386	505685	1385
382	560	1386-1387	506050	1386
383	558	1387-1388	506415	1387
384	567	1388-1389	506781	1388
385	537	1389-1390	507146	1389
386	589	1390-1391	507511	1390
387	610	1391-1392	507876	1391
388	599	1392-1393	508242	1392
389	624	1393-1394	508607	1393
390	664	1394-1395	508972	1394
391	648	1395-1396	509337	1395
392	629	1396-1397	509703	1396
393	622	1397-1398	510068	1397
394	671	1398-1399	510433	1398
395	800	1399-1400	510798	1399
396	800	1400-1401	511163	1400
397	688	1401-1402	511528	1401
398	670	1402-1403	511893	1402
399	648	1403-1404	512258	1403
400	571	1404-1405	512624	1404
401	607	1405-1406	512989	1405
402	719	1406-1407	513354	1406
403	748	1407-1408	513719	1407
404	720	1408-1409	514085	1408
405	715	1409-1410	514450	1409
406	699	1410-1411	514815	1410
407	667	1411-1412	515180	1411
408	664	1412-1413	515546	1412
409	731	1413-1414	515911	1413
410	775	1414-1415	516276	1414
411	735	1415-1416	516641	1415
412	712	1416-1417	517007	1416
413	775	1417-1418	517372	1417
414	809	1418-1419	517737	1418
415	775	1419-1420	518102	1419
416	757	1420-1421	518468	1420
417	786	1421-1422	518833	1421
418	869	1422-1423	519198	1422
419	881	1423-1424	519563	1423
420	830	1424-1425	519929	1424
421	737	1425-1426	520294	1425
422	674	1426-1427	520659	1426
423	726	1427-1428	521024	1427
424	858	1428-1429	521390	1428
425	904	1429-1430	521755	1429
426	832	1430-1431	522120	1430
427	748	1431-1432	522485	1431
428	799	1432-1433	522851	1432
429	896	1433-1434	523216	1433
430	900	1434-1435	523581	1434
431	892	1435-1436	523946	1435
432	917	1436-1437	524312	1436
433	995	1437-1438	524677	1437
